SYSTEM,NAME,TRIGGER,ACTION,DESTINATION,TESTED,OPERATIONAL,REAL_OUTPUT
N8N WORKFLOW,post-close-automation,Deal closed,Post-close workflow,Various,BUILT,NOT DEPLOYED,0
N8N WORKFLOW,property-ai-live-notification,Property updated,AI notification,Carlos,BUILT,NOT DEPLOYED,0
N8N WORKFLOW,TOTAL,21 workflows,All configured,Railway pending,YES built,NOT DEPLOYED,0 output
,,,
DEPLOYMENT INFO,Railway,All configured,railway.toml Dockerfile.n8n,4 hours to deploy,€15/month,NOT DEPLOYED,
DEPLOYMENT INFO,n8n credentials needed,SUPABASE + RESEND + ANTHROPIC + APOLLO,,In n8n-workflows/.env,,
,,,
OUTREACH QUEUE,3164 contacts in outreach_queue,READY,Waiting for n8n deployment,,,,
,,,
AUTOMATION IMPACT IF DEPLOYED,,,,,
IMPACT,Capital outreach automation,3164 sequences,15% open rate → 475 opens,3% reply → 95 replies,10% meeting → 9 meetings
IMPACT,Lead nurture sequences,18042 leads available,n8n + email needed,Multi-touch automated,,
IMPACT,Investor alerts,Carlos notified instantly,High score triggers,No manual monitoring needed,,
IMPACT,Daily digest,Carlos gets daily briefing,Email every morning,Full operational awareness,,
IMPACT,Dormant lead revival,Automates follow-ups,30-day triggers,No CRM manual work needed,,
