CATEGORY,METRIC,EXACT_VALUE,METHOD,DATE
DEPENDENCIES,Dev dependencies,23,package.json devDependencies,2026-06-25
DEPENDENCIES,Total,52,,2026-06-25
,,,
API ROUTE BREAKDOWN,cron,37,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,analytics,36,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,sre,16,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,auth,16,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,automation,15,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,system,14,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,control-tower,13,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,ops,12,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,investors,12,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,security,12,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,offmarket-leads,11,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,compliance,10,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,market,10,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,validation,10,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,ml,9,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,incidents,9,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,reality,8,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,properties,7,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,simulation,6,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,crm,6,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,property-ai,6,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,dashboard,6,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,resilience,6,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,buyers,5,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,sofia,5,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,financial,5,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,remediation,5,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,heygen,5,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,observability,4,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,portal,4,Exact from PowerShell,2026-06-25
API ROUTE BREAKDOWN,other categories,~156,Remaining to reach 542,2026-06-25
,,,
LIB SUBDIRECTORY BREAKDOWN,runtime,75,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,security,46,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,property-ai,44,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,compliance,32,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,observability,31,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,events,30,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,ml,27,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,sre,26,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,ingestion,22,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,intelligence,20,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,product,20,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,agents,20,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,economics,18,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,workers,17,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,investors,16,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,market,14,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,ops,14,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,validation,14,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,go-to-market,13,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,ai,13,lib/ dir scan,2026-06-25
LIB SUBDIRECTORY BREAKDOWN,Other 80+ subdirs,~100+,lib/ dir scan,2026-06-25
,,,
NOTES,blog articles are tsx page files not mdx,,Confirmed by file scan,2026-06-25
NOTES,xlsx package NOT installed,,Test-Path node_modules/xlsx,2026-06-25
NOTES,many lib/ subdirs appear aspirational/generated,,Review lib/ dir names,2026-06-25
NOTES,418 .md files include audit reports (390+),,Most are not production docs,2026-06-25
