SECTION,ROUTE,AUTH,LANGUAGE,PURPOSE,DATA_SOURCE,STATUS,TRAFFIC_CAPABLE,COMMERCIAL_VALUE
BLOG EN,/blog/american-buyers-guide-portugal-2026,PUBLIC,en,US buyers guide,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/portugal-residency-investment-2026,PUBLIC,en,Residency guide,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/portugal-retirement-haven-2026,PUBLIC,en,Retirement guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/portugal-vs-spain-property-2026,PUBLIC,en,PT vs ES market,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/portugal-vs-spain-tax-residency-2026,PUBLIC,en,PT vs ES tax,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/capital-gains-property-portugal-2026,PUBLIC,en,Capital gains tax,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/taxes-imt-portugal-2026,PUBLIC,en,IMT tax guide,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/vat-exemption-portugal-property,PUBLIC,en,VAT guide,Static,LIVE,YES - SEO,MEDIUM
BLOG FR,/blog/acheter-appartement-lisbonne-guide,PUBLIC,fr,Buy apt Lisbon FR,Static,LIVE,YES - SEO,HIGH
BLOG FR,/blog/acheter-appartement-porto-france,PUBLIC,fr,Buy apt Porto FR,Static,LIVE,YES - SEO,MEDIUM
BLOG FR,/blog/acheter-maison-cascais-portugal,PUBLIC,fr,Buy Cascais FR,Static,LIVE,YES - SEO,MEDIUM
BLOG FR,/blog/acheter-villa-algarve-2026,PUBLIC,fr,Buy Algarve FR,Static,LIVE,YES - SEO,MEDIUM
BLOG FR,/blog/investir-immobilier-algarve-2026,PUBLIC,fr,Invest Algarve FR,Static,LIVE,YES - SEO,HIGH
BLOG FR,/blog/regime-ifici-nhr-france-portugal,PUBLIC,fr,NHR for French,Static,LIVE,YES - SEO,HIGH
BLOG FR,/blog/vendre-bien-portugal-guide,PUBLIC,fr,Sell in Portugal FR,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/comprar-casa-portugal-2026,PUBLIC,pt,Buy house PT,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/investir-imoveis-comporta-2026,PUBLIC,pt,Invest Comporta PT,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/investir-imoveis-portugal,PUBLIC,pt,Invest Portugal PT,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/investir-madeira-2026,PUBLIC,pt,Invest Madeira PT,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/mercado-imoveis-abril-2026,PUBLIC,pt,Market April 2026,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/mercado-imoveis-porto-2026,PUBLIC,pt,Porto market 2026,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/mercado-luxo-portugal-2026,PUBLIC,pt,Luxury market 2026,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/nhr-ifici-2026-guia-completo,PUBLIC,pt,NHR complete guide PT,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/nhr-ifici-guia-completo,PUBLIC,pt,NHR guide PT v2,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/propriedades-luxo-lisboa-2026,PUBLIC,pt,Luxury Lisboa PT,Static,LIVE,YES - SEO,HIGH
BLOG PT,/blog/primeira-casa-lisboa-guia-2026,PUBLIC,pt,First home Lisboa PT,Static,LIVE,YES - SEO,MEDIUM
BLOG PT,/blog/vender-imovel-portugal-2026,PUBLIC,pt,Sell property PT,Static,LIVE,YES - SEO,MEDIUM
BLOG MIXED,/blog/acores-imoveis-investimento,PUBLIC,pt,Azores PT,Static,LIVE,YES - SEO,MEDIUM
BLOG MIXED,/blog/acores-investimento-imobiliario-2026,PUBLIC,pt,Azores invest 2026,Static,LIVE,YES - SEO,MEDIUM
BLOG MIXED,/blog/apartamentos-luxo-cascais-comprar,PUBLIC,pt,Luxury Cascais PT,Static,LIVE,YES - SEO,MEDIUM
BLOG MIXED,/blog/credito-habitacao-estrangeiros-portugal,PUBLIC,pt,Mortgage foreigners,Static,LIVE,YES - SEO,HIGH
BLOG MIXED,/blog/imt-impostos-portugal-2026,PUBLIC,pt,IMT taxes 2026,Static,LIVE,YES - SEO,HIGH
BLOG MIXED,/blog/mais-valias-imoveis-portugal-2026,PUBLIC,pt,Capital gains PT,Static,LIVE,YES - SEO,HIGH
BLOG MIXED,/blog/comprare-casa-portogallo-guida,PUBLIC,it,Buy in Portugal IT,Static,LIVE,YES - SEO,MEDIUM
BLOG MIXED,/blog/investimento-madeira-2026,PUBLIC,pt,Madeira invest 2026,Static,LIVE,YES - SEO,MEDIUM
BLOG DYNAMIC,/blog/[slug],PUBLIC,all,Dynamic blog catch-all,Static,LIVE,YES,MEDIUM
,,,,,,,,,
AUTH,/login,PUBLIC,all,Magic link + Google OAuth,NextAuth,LIVE,YES,OPERATIONAL
AUTH,/auth/(3 more pages),PUBLIC,all,Auth flow,NextAuth,LIVE,YES,OPERATIONAL
,,,,,,,,,
SEO PAGES,/faq,PUBLIC,all,FAQ with JSON-LD,Static,LIVE,YES - SEO,MEDIUM
SEO PAGES,/buy-property-portugal,PUBLIC,en,Buy property guide,Static,LIVE,YES - SEO,HIGH
SEO PAGES,/concierge-estrangeiros,PUBLIC,pt,Concierge service,Static,LIVE,YES,MEDIUM
SEO PAGES,/casos-de-sucesso,PUBLIC,pt,Case studies,Static (0 real cases),LIVE,YES,MEDIUM
SEO PAGES,/imprensa,PUBLIC,pt,Press page,Static,LIVE,YES,LOW
SEO PAGES,/contacto,PUBLIC,pt,Contact page,Form → CRM,LIVE,YES,HIGH
,,,,,,,,,
TEAM,/equipa,PUBLIC,pt,Team page (0 real agents),Static placeholder,LIVE,YES,LOW
TEAM,/agente/[slug],PUBLIC,pt,Agent profiles (dynamic),profiles table (0 rows),LIVE - code only,Theoretical,LOW - no agents
,,,,,,,,,
PARTNERS,/parceiros,PUBLIC,pt,Partner page,Static,LIVE,YES,MEDIUM
PARTNERS,/white-label,PUBLIC,pt,White-label offer,Static,LIVE,YES,MEDIUM
,,,,,,,,,
ZONES,/zonas/[zona] (2),PUBLIC,pt,Neighborhood intel (6 zones),Static + DB,LIVE,YES,MEDIUM
,,,,,,,,,
DEAL,/deal,PUBLIC,pt,Deal presentation page,deals table,LIVE,YES,HIGH
,,,,,,,,,
OTHER,/onboarding,REQUIRED,pt,User onboarding,DB,LIVE,YES,MEDIUM
OTHER,/reports,REQUIRED,pt,Reports page,kpi_snapshots,LIVE,CARLOS ONLY,MEDIUM
OTHER,/relatorio-2026,PUBLIC,pt,2026 market report,Static,LIVE,YES,MEDIUM
OTHER,/vendidos,PUBLIC,pt,Sold properties (0 real),Properties DB,LIVE,YES,LOW - no sold
OTHER,/privacidade,PUBLIC,all,Privacy policy,Static,LIVE,YES,OPERATIONAL
OTHER,/unsupported-browser,PUBLIC,all,Browser warning,Static,LIVE,Rare,LOW
OTHER,/admin,REQUIRED,pt,Admin area,All DB,LIVE,CARLOS ONLY,OPERATIONAL
,,,,,,,,,
INTERNATIONAL,/en (2 pages),PUBLIC,en,English routes,Static,LIVE,YES,HIGH
INTERNATIONAL,/fr (1 page),PUBLIC,fr,French routes,Static,LIVE,YES,HIGH
INTERNATIONAL,/de (1 page),PUBLIC,de,German routes,Static,LIVE,YES,MEDIUM
INTERNATIONAL,/ar (1 page),PUBLIC,ar,Arabic routes,Static,LIVE,YES,MEDIUM
INTERNATIONAL,/zh (1 page),PUBLIC,zh,Chinese routes,Static,LIVE,YES,MEDIUM
,,,,,,,,,
SUMMARY,Total pages confirmed,155,page.tsx count PowerShell,2026-06-25
SUMMARY,Public-facing buyer pages,~90,,
SUMMARY,Admin/portal pages,~65,,
SUMMARY,Blog articles,55,In app/blog/ with page.tsx,2026-06-25
SUMMARY,Languages,6,en pt fr de ar zh+it,2026-06-25
SUMMARY,Pages with real data,~20,kpi/contacts/leads/properties,2026-06-25
SUMMARY,Pages with demo/empty data,~135,,2026-06-25
